model,cost,pollutant,fieldr2lo,fieldr2hi,fieldmaelo,fieldmaehi
Strop de aer,175,PM2.5,0.71,0.77,6.3,8.8
Tera Sensor (NextPM),70,PM2.5,0.87,0.95,3.9,5.6
TSI (AirAssure),1500,PM2.5,0.81,0.83,NA,NA
TSI (BlueSky),400,PM2.5,0.65,0.76,4.9,5.9
uHoo,300,PM2.5,0,NA,9.5,17.8
Air Quality Egg (2024 Model),1914,PM2.5,0.89,NA,4.2,4.3
HabitatMap (AirBeam Mini),99,PM2.5,0.64,NA,3.1,3.3
Airthings Space Pro,385,PM2.5,0.44,0.49,5.4,8.3
Cubic Sensors & Instruments PM2012SE-B,45,PM2.5,0.59,0.63,4.9,5
Strop de Aer PM-Ultimate,250,PM2.5,0.59,0.6,4.6,4.7
QuantAQ (MODULAIR-PM; 2025 Evaluation),2495,PM2.5,0.86,0.93,4.4,5.3
Bettair (Static Node MK2 Series),6330,PM2.5,0.48,0.54,4.5,5
IKEA Vindstyrka,60,PM2.5,0.66,0.67,5.1,5.5
